Samples	group	1261.82410453_13.462	1421.94930453_13.687	1443.93365453_13.687	1451.99625453_14.335	1449.98060453_14.049	1447.96495453_13.734	1471.96495453_14.066	1469.94930453_13.744	1467.93365453_13.446	424.24696553_2.098	436.28335053_5.091	438.29900053_5.205	452.27826553_3.685	462.29900053_5.55	464.31465053_5.644	466.33030053_7.29	474.26261553_1.994	476.27826553_2.766	478.29391553_4.2	480.30956553_6.216	498.26261553_1.943	500.27826553_2.669	502.293915529999_3.365	504.30956553_4.778	506.32521553_6.47	524.278265529999_2.46	526.293915529999_2.907	528.309565529999_4.186	530.325215529999_5.547	690.50793053_10.447	714.50793053_10.814	716.523580529999_11.33	722.51301553_11.014	724.528665529999_11.123	726.54431553_10.938	728.523580529999_10.301	728.55996553_11.03	728.55996553_11.442	730.539230529999_10.815	730.575615529999_11.524	736.492280529999_10.257	738.50793053_10.701	740.523580529999_10.853	742.539230529999_11.454	744.55488053_11.944	746.51301553_10.804	746.570530529999_11.712	748.528665529999_11.035	748.528665529999_10.477	752.523580529999_11.012	752.559965529999_11.748	756.554880529999_10.936	762.50793053_10.295	762.50793053_10.493	764.523580529999_10.074	764.523580529999_10.715	766.539230529999_11.328	768.554880529999_10.669	772.528665529999_10.843	772.58618053_11.75	776.559965529999_10.812	776.559965529999_10.503	778.575615529999_11.429	780.554880529999_10.95	784.58618053_10.864	786.50793053_10.038	788.523580529999_10.529	790.539230529999_10.738	790.539230529999_11.121	792.554880529999_11.556	792.554880529999_10.528	794.570530529999_11.742	794.570530529999_11.122	796.58618053_11.391	806.570530529999_10.522	806.570530529999_11.127	808.58618053_10.736	810.601830529999_11.346	750.52906053_10.472	764.54471053_10.791	764.58109553_11.514	776.54471053_10.507	778.560360529999_11.106	786.565445529999_10.942	788.544710529999_10.203	788.58109553_11.453	790.560360529999_10.594	790.59674553_11.546	792.57601053_11.344	798.52906053_9.86584448861874	802.560360529999_10.631	804.57601053_11.137	806.59166053_11.732	810.565445529999_10.386	812.544710529999_10.102	812.58109553_10.934	814.59674553_11.474	816.57601053_10.846	818.59166053_11.33	824.544710529999_9.819	824.544710529999_10.081	826.560360529999_10.514	828.57601053_10.665	832.60731053_11.74	834.565445529999_10.584	836.58109553_10.822	838.59674553_10.915	840.57601053_10.802	840.612395529999_11.441	844.607310529999_10.973	846.622960529999_11.251	850.560360529999_10.326	852.57601053_10.709	854.59166053_10.949	854.59166053_11.141	856.607310529999_11.116	856.607310529999_11.402	860.58109553_10.6107735942837	862.59674553_10.8229080969285	876.57601053_10.3480606709624	878.59166053_10.447	880.607310529999_11.113	882.622960529999_11.453	892.607310529999_10.5439737326249	894.622960529999_10.635	693.47121153_9.867	719.486861529999_9.904	721.502511529999_10.451	743.486861529999_9.116	745.502511529999_9.607	745.502511529999_10.037	747.518161529999_10.464	757.502511529999_9.369	761.53381153_10.695	769.502511529999_9.245	769.502511529999_9.924	771.518161529999_9.661	773.53381153_10.087	775.54946153_11.063	793.502511529999_9.147	793.502511529999_9.758	795.518161529999_9.57	797.53381153_10.516	815.486861529999_8.656	817.502511529999_9.061	819.518161529999_9.427	821.53381153_10.336	825.565111529999_10.066	841.502511529999_8.899	849.565111529999_9.974	865.502511529999_8.752	867.518161529999_9.14	805.48725653_9.366	807.502906529999_9.823	809.51855653_10.329	833.51855653_9.898	835.534206529999_10.36	837.549856529999_10.837	847.534206529999_10.202	849.549856529999_10.731	857.51855653_9.495	857.51855653_9.806	859.534206529999_9.943	859.534206529999_10.188	861.549856529999_10.499	863.56550653_10.988	869.55494153_10.152	881.51855653_9.633	883.534206529999_9.843	885.549856529999_10.384	887.565506529999_10.645	889.581156529999_11.033	871.534206529999_10.096	899.565506529999_10.685	907.534206529999_9.679	909.549856529999_9.857	909.549856529999_10.218	911.565506529999_10.39	913.581156529999_10.786	913.581156529999_10.986
young_1	Sample source:Heart | Sex:M | Age group:young	8.2889	36.8705	6.0068	17.0962	132.9647	1.0342	7.2563	5.4155	26.3388	0.2222	16.2355	1.5827	1.7538	75.8511	1.0687	25.9537	0.4202	29.5498	1.3654	0.2998	0.9078	0.7989	14.8459	653.44	70.9969	0.4748	17.4508	80.5017	186.1349	36.231	65.3896	43.1959	400.1724	18.3522	63.26	25.0689	135.0956	28.8351	13.2143	3.2616	21.997	69.6876	96.2286	107.5612	1717.3532	37.7951	21.7665	64.6853	444.8409	4.4186	34.7834	135.7838	177.7354	34.3853	341.752	24.506	99.4539	32.3067	33.66	96.4756	60.1248	14.1988	4.5904	12.7629	14.6788	125.7661	27.6687	20.9715	285.7649	317.0829	7.6249	26.7501	51.6751	12.6934	16.5842	29.5251	10.6553	17.9981	41.5442	8.4481	50.2463	11.3916	8.6832	110.6884	504.8481	337.4308	4.4201	2991.3517	1702.6281	1154.4406	175.0482	23.4483	368.8063	14.4605	94.1779	43.8953	115.948	109.2644	12.5745	81.138	85.9367	44.2422	12.2917	73.6484	421.4118	37.2524	158.7571	6.6578	14.1137	17.0199	243.5616	36.7324	16.2797	49.9742	41.322	30.9713	62.7056	235.8954	17.0209	32.1773	50.9774	29.38	8.9583	17.4753	26.0584	0.2398	0.8843	66.3034	6.0146	2.6527	1.0996	3.986	1.2556	1.7169	1.6538	11.4009	2.9096	1.175	2.1279	32.9481	18.8469	7.1229	14.8155	3.3634	4.7045	5.6915	0.3683	13.5521	0.6248	1.9377	1.3353	3.0985	0.4987	5.8405	6.7852	0.48	0.4242	1.6235	0.5089	2.484	2.2994	22.5497	13.9785	0.3905	0.7338	14.2365	288.8921	1.3639	7.6075	10.5032	0.397	21.852	5.7931	0.2304	29.4181	1.3983	0.7814	0.1722	1.0589	0.263
young_2	Sample source:Heart | Sex:M | Age group:young	9.13	11.2341	3.2156	13.3342	145.3658	1.0788	2.1499	3.367	30.0656	0.3101	14.3148	0.7733	1.0649	87.1492	0.6532	16.5353	0.2301	66.1947	0.5954	0.6161	0.5135	0.8622	21.7899	609.2115	25.8131	0.3836	19.1854	67.1632	88.8135	333.8608	229.413	582.5788	4613.3388	180.8078	495.9972	145.7435	523.8012	50.9375	153.3338	100.9575	293.2308	112.1806	454.087	1364.91	13228.7517	201.9505	51.7788	198.7235	1272.3173	96.4909	90.6104	437.1613	778.8849	708.848	3433.9897	95.4092	500.675	192.7776	733.9687	722.5984	183.7781	154.6564	75.4324	59.9145	44.9678	304.6453	28.9407	158.1491	1326.1147	3340.5057	78.9313	248.778	459.9232	58.1778	25.2502	110.2269	34.8997	46.359	1245.3688	355.9164	1914.0972	1220.2337	408.9755	3985.4913	6947.456	7435.3604	89.5488	79127.5231	85543.642	37393.4744	2848.9855	960.475	6566.1354	285.0262	2129.3965	609.6617	2161.4554	8908.2175	135.4087	848.1594	2382.5363	2878.5058	575.6632	601.1635	6401.2983	1154.768	4805.637	161.1074	491.079	289.5071	9722.4625	1116.1656	404.0571	651.7297	875.2043	284.7127	1046.2726	2830.6217	181.9598	103.9479	1231.6188	1117.6001	144.7874	105.0301	729.5402	0.8507	3.1918	94.3566	16.4752	4.3176	1.0689	3.4781	1.4677	2.7851	2.1714	8.9565	7.2514	1.5188	3.32	37.1661	28.9813	4.6944	4.2331	7.0972	3.2235	1.8596	0.086	7.0363	0.2133	0.3108	0.3028	0.2573	0.2744	5.0272	6.0416	0.2062	0.5272	1.6841	0.0935	2.5937	0.4532	12.2269	4.3938	0.5102	0.4401	6.379	207.0107	0.943	4.1406	3.4594	0.3953	22.4754	12.4339	0.6209	30.2163	0.9831	0.3091	0.0641	0.3919	0.1099
young_3	Sample source:Heart | Sex:M | Age group:young	9.0886	7.6486	5.4975	10.1393	102.6457	1.022	1.2178	3.6796	21.0003	0.1502	5.9637	0.182	0.8394	34.596	0.1572	9.6071	0.0751	19.8069	0.5101	0.3009	0.3131	0.4098	5.3344	364.0575	12.5482	0.2525	11.2284	41.1658	40.6703	106.3579	95.2904	106.9338	865.5362	23.4111	101.3646	35.0253	761.0608	63.8235	40.1893	21.0617	99.0655	70.5596	225.2955	297.9758	6093.6623	57.4737	28.8187	70.3965	365.3332	11.374	23.5255	163.202	443.0432	151.8519	878.2676	35.2406	119.1469	142.1469	281.344	208.568	194.3781	46.6008	13.367	21.7294	34.7316	471.84	37.4073	67.2582	671.3463	995.6262	21.1823	164.4422	168.2759	20.518	65.9595	57.4948	15.9694	23.1905	209.3779	19.013	308.3748	162.5652	92.5655	788.5307	2458.8803	1607.1937	30.6379	14942.6836	12529.9291	8694.8661	533.8016	217.1665	1185.2859	55.4788	405.9652	137.0312	942.099	2079.8186	24.4888	475.1376	515.9786	436.4335	133.2073	203.9817	1988.0544	230.7118	1765.7639	67.7847	169.835	77.684	1380.5591	231.3599	104.6332	120.5616	211.9238	118.1074	278.1642	1721.6603	117.8058	83.0646	217.4008	162.9301	36.9666	23.3939	222.7514	0.1728	0.8805	56.771	8.8916	1.5137	0.3454	0.942	0.3935	1.1565	1.6256	5.5503	2.8095	0.4928	1.0791	14.9213	11.3603	5.3617	4.8261	2.7584	3.0532	2.4544	0.146	4.583	0.1026	0.7056	0.456	0.3872	0.2214	2.1743	4.8265	0.2327	0.2651	1.0348	0.1208	1.2484	0.4845	6.4176	2.0146	0.2102	0.1902	2.785	142.163	0.6782	4.0004	2.5336	0.2613	18.3516	2.2666	0.0807	9.5951	0.386	0.1314	0.0785	0.243	0.0803
young_4	Sample source:Heart | Sex:M | Age group:young	7.9396	13.3439	4.6751	16.3568	160.7074	1.1632	2.315	4.8189	31.8418	0.3474	11.9888	0.6543	1.0603	78.7065	0.5618	14.7821	0.2335	31.1453	0.506	0.4049	0.3313	0.4535	11.3938	526.2582	30.8432	0.2705	14.3182	63.941	70.4799	74.0627	38.574	55.3671	520.5887	21.1972	53.728	20.2734	104.1634	9.6091	25.0326	18.2822	62.9254	42.8208	88.817	162.4811	2958.3602	33.7646	14.6858	54.4382	311.4453	9.0797	23.2819	105.7023	170.7491	74.2068	528.8773	9.8415	73.5312	33.0237	89.0764	157.5895	50.3856	27.9653	8.0424	9.4683	17.7877	39.9786	3.8613	34.5348	199.9225	379.9039	9.4138	46.4825	72.6768	8.5174	12.4061	40.6509	14.0024	21.7836	97.1932	24.6123	120.2054	77.8668	39.9911	278.7324	609.6803	366.5693	13.3208	3782.5584	3724.4879	2032.8232	192.5602	42.6748	357.0608	19.9517	123.0843	35.3911	135.3512	348.1435	9.1685	85.4923	148.9401	156.8715	35.1682	102.133	436.347	52.765	332.8778	8.5767	24.2006	26.0901	360.7118	47.5614	18.2814	23.0962	35.1456	12.7156	70.6308	234.0362	14.4107	13.0423	68.6153	80.0643	10.7211	11.2943	40.7489	1.1211	4.1025	113.4795	19.8771	5.0776	1.183	5.2296	1.532	2.2686	1.9584	9.3928	9.5516	1.7135	4.502	40.3803	38.2145	8.515	5.5499	8.9324	5.6285	3.0373	0.1438	12.487	0.6614	0.6891	0.4768	0.4652	0.4632	2.825	6.0634	0.223	0.3965	1.8622	0.1424	1.56	1.6966	7.8759	3.8567	0.1865	0.289	6.2968	217.4131	0.8128	4.6679	4.3172	0.2347	14.1295	4.4608	0.2419	19.6708	0.6774	0.2227	0.1256	0.3561	0.1074
young_5	Sample source:Heart | Sex:M | Age group:young	8.958	19.0862	14.11	29.6947	285.5223	0.8967	2.6788	9.165	61.0456	0.3375	15.3587	0.6912	1.1469	79.6652	0.4591	14.6068	0.2129	41.5001	0.5954	0.4781	0.4558	0.734	15.8446	623.8927	23.0244	0.433	23.2211	73.7557	67.1285	553.3812	228.479	470.6206	3852.2893	120.2981	341.7833	131.7065	1003.321	73.2092	160.4469	130.8068	311.5925	93.421	463.2681	1647.627	15630.4017	283.4615	62.5537	187.2649	992.9022	94.568	71.6271	670.7411	873.6012	557.1734	3016.2815	114.8335	362.2316	217.6575	959.2162	1227.8921	442.0635	153.2014	76.8345	57.4813	88.1034	645.6716	39.9897	221.0092	1544.6908	2950.1043	87.4458	506.2868	689.387	81.5243	86.4048	233.0378	55.3874	88.588	1247.4835	335.9266	1383.3905	1133.7898	549.0967	4506.4961	11000.2165	6707.3229	137.9755	50909.7278	76620.3721	42197.3059	2945.6896	1048.2666	5664.6431	306.9933	2091.6774	697.8171	1756.7838	7938.9382	124.6073	1001.3082	1569.1414	2594.3249	618.9342	890.8426	4458.8552	939.9074	6562.54	163.3997	568.3713	310.8153	8410.5416	1099.833	440.6705	433.1677	804.5455	211.0195	1491.1016	4411.8689	272.0195	135.392	817.7008	1189.7086	138.0722	115.4709	870.4764	1.0316	4.3831	216.9208	31.6696	7.2344	1.4219	1.2435	1.8802	2.9809	3.7314	15.0108	10.1416	1.8457	6.3444	52.4876	51.3973	12.4134	8.4597	13.7025	8.4142	4.1232	0.1778	15.0485	0.4403	0.845	0.8616	0.559	0.2768	2.6471	7.3216	0.1645	0.3502	1.4311	0.0187	1.3117	0.3173	5.0693	1.5437	0.1241	0.1673	3.1513	158.6661	0.5701	3.2756	1.8169	0.318	15.2863	5.0838	0.2253	16.5753	0.5587	0.1466	0.1173	0.172	0.0782
young_6	Sample source:Heart | Sex:M | Age group:young	9.6177	13.4976	2.4792	16.4361	95.4736	0.0996	1.1321	2.8273	19.6688	0.9706	89.7261	3.228	28.0573	679.5489	4.9359	60.1199	1.1546	29.797	10.4873	0.3095	1.813	0.7884	6.2532	509.2411	18.6279	0.3219	12.8634	38.8066	87.2621	407.3189	154.2305	150.985	1677.0353	48.1036	260.9595	86.7339	1207.364	132.2703	153.7951	64.3928	137.662	194.2365	500.3563	882.8901	6505.6143	136.5423	46.0207	113.2455	1117.1253	38.0373	67.1951	874.3383	438.6046	184.8834	1256.5063	27.1488	227.9087	457.2011	761.3696	598.2235	596.0378	212.9252	50.8133	341.2049	97.3213	849.3695	97.4732	158.0363	1113.3655	2540.1042	43.9207	251.0799	467.0218	54.3432	147.7279	215.6264	99.0952	41.7801	1114.4028	173.3054	1730.2118	631.3233	397.8744	2880.2492	3861.8831	5657.0736	75.6464	51670.9864	32716.5984	24324.2541	1690.4485	451.4285	5634.8601	97.4631	1648.8464	481.4096	4021.2225	6026.1421	221.7025	2798.487	2309.3593	1660.1299	482.3148	391.2909	5047.8811	525.6295	4245.0274	82.3619	316.0692	253.291	4928.3741	526.9799	274.9045	898.3122	623.4979	602.2557	809.05	5927.1295	404.1396	648.5155	941.1571	616.9255	147.823	271.7678	570.8024	0.7265	2.0214	100.515	14.6419	6.6021	1.1353	6.4979	3.4604	1.8418	3.7996	10.0588	5.9287	1.4343	4.2201	52.4976	47.901	11.9211	10.4168	10.8016	17.11	5.8225	0.2614	12.4366	2.2914	1.0501	1.1776	0.9619	0.2563	2.8689	5.982	0.2526	0.36	1.4215	0.1647	1.7617	0.2925	5.8461	3.212	0.3236	0.1603	3.0761	142.4765	0.4502	2.8599	2.748	0.3988	10.5476	4.8962	0.5165	19.989	0.611	0.3092	0.0656	0.3081	0.0651
young_7	Sample source:Heart | Sex:F | Age group:young	10.9275	6.2451	3.006	6.7618	76.7717	0.4816	1.116	2.6957	16.0595	0.38	14.4143	0.6266	0.7697	86.6906	0.5002	17.0506	0.2795	68.4346	0.5646	0.7256	0.5194	0.834	13.8931	565.6835	52.1137	0.2571	15.1389	74.8376	91.8679	117.7863	62.6028	149.3304	942.2067	63.8802	135.4852	32.0013	77.8533	9.028	35.632	30.9248	81.0883	50.1165	115.7746	432.6024	4365.9106	163.3165	16.7731	44.9197	391.392	28.8113	23.0675	180.8046	312.1492	181.1432	991.6773	34.3914	171.1196	31.6475	164.7877	278.9063	69.0055	51.229	40.4065	21.324	15.6964	64.1941	6.8436	41.2427	324.0925	773.8169	16.2102	85.5516	176.6093	14.2018	6.863	56.6282	15.1936	20.6989	233.8037	45.0159	199.3346	166.3315	67.2326	528.3011	1160.0634	880.6056	14.3048	8016.552	11086.4118	5035.4163	906.3585	105.1451	1160.9611	25.2227	306.9763	93.8703	147.7667	814.0749	28.8019	106.766	238.4382	389.3263	74.4002	102.4001	631.0381	105.6553	727.8744	18.1558	77.6396	31.1769	1475.4741	189.3727	65.0628	104.6099	77.2862	25.7612	149.444	386.1736	32.0999	21.0269	162.0462	119.0944	29.4533	27.3147	127.0248	0.9101	2.0431	130.5387	27.2226	6.3144	2.3821	3.392	1.1553	3.2146	3.177	9.4293	8.9243	2.3574	4.5488	28.7722	33.6511	8.0291	18.5195	10.4618	8.3976	11.9979	0.7368	26.4178	1.198	2.4177	1.5638	3.8119	0.3665	4.5053	5.467	0.5312	0.4845	1.3771	0.0335	1.5284	1.2523	8.3658	2.9114	0.2968	0.3342	4.2833	207.0515	0.8226	5.7346	6.0828	0.3622	25.0775	9.8644	0.5908	24.2098	1.2215	0.645	0.1309	0.3722	0.1159
young_8	Sample source:Heart | Sex:M | Age group:young	9.0145	2.9835	1.5448	3.8355	31.8969	0.1009	0.3287	0.9732	6.3152	0.2387	11.1153	0.4535	0.9151	56.7993	0.3221	15.4197	0.1855	29.8323	0.5152	0.2013	0.4905	0.6553	12.5234	523.4086	22.842	0.5361	18.2254	58.8662	83.0927	71.2255	42.5643	49.2088	828.8865	12.8082	73.3726	12.4579	96.0601	9.644	28.9846	12.5313	30.5748	25.3266	92.9562	228.4116	1769.1189	36.6417	10.1479	21.5291	142.3837	7.1083	7.9281	111.9804	117.1568	74.2279	664.9488	31.6159	72.2294	26.3946	62.7699	123.1101	45.6589	19.4975	7.3351	11.1891	10.5815	58.9884	6.2394	26.096	232.288	620.3938	15.2516	57.6377	99.8225	12.4917	6.5705	30.9595	11.0876	17.006	110.0793	33.3319	171.4628	64.5216	43.7417	363.2538	1059.5911	781.7108	15.5423	6439.0766	5184.2183	3617.1056	248.0401	86.2192	622.3814	31.0908	141.2623	87.828	131.113	297.2107	9.2421	91.8218	216.7368	172.2834	54.3244	102.8711	556.417	102.2461	493.4073	14.9573	41.1995	22.1989	658.3975	90.7541	40.918	53.9939	74.6241	17.2347	134.4964	286.9269	17.0368	14.5631	54.8524	82.6425	14.8552	13.6076	71.8116	0.4679	2.3571	87.2056	14.2431	2.4329	0.7256	3.3094	1.0901	3.0124	1.9206	5.1932	2.3994	0.538	2.6434	35.1051	28.7115	12.3547	14.3377	7.116	7.5137	6.6231	0.3191	8.1056	0.5214	1.9983	1.6548	1.3736	0.2049	1.8894	5.3411	0.3121	0.2204	1.182	0.0279	0.737	0.4004	3.7616	1.3086	0.1627	0.1998	5.9427	154.8255	0.9465	3.9531	3.6316	0.2778	11.2367	3.2808	0.1006	16.1903	0.5978	0.2565	0.1171	0.3615	0.0972
young_9	Sample source:Heart | Sex:M | Age group:young	8.1297	11.1458	5.1668	19.9252	128.9573	1.2445	1.241	4.0993	15.9843	0.463	23.3169	1.7742	1.0915	173.1738	1.5166	25.1936	0.7086	57.5476	0.5686	0.8796	0.7772	0.9222	18.0302	707.1047	39.5489	0.4727	26.9545	92.7033	78.6984	25.9323	27.2192	67.9691	546.4736	15.7776	36.7484	20.5136	6.24	0.5311	12.4036	8.3546	87.254	45.6853	82.0695	102.1691	2938.1444	15.7634	17.0609	77.7864	256.2794	7.8868	31.0322	33.1561	265.5371	87.5552	648.8234	15.2733	62.505	0.8921	2.6463	60.9299	2.4354	22.4702	2.7376	8.5925	2.0104	4.2078	0.2787	19.6021	46.1258	224.0782	7.2755	34.1857	39.3891	6.923	0.3787	7.6511	1.0858	14.237	45.7523	29.125	68.1721	41.158	17.2796	123.8059	361.8681	221.8548	8.0499	2222.1802	2644.081	1376.692	101.1279	43.9451	207.3138	16.4895	88.0447	22.2831	4.3992	14.0002	2.3791	1.0265	118.8355	167.6792	37.0647	86.1374	469.2435	44.8934	241.8148	15.0484	23.2061	28.1955	270.0935	41.9554	14.6092	14.5798	39.6814	0.8442	76.1967	11.5275	1.4392	NA	15.7532	15.1163	3.9278	2.2923	33.8405	0.4091	2.0938	90.0871	13.4525	3.9834	0.7349	4.4798	1.436	4.8065	1.4313	9.8089	8.9706	1.1978	2.6018	40.7341	32.3889	10.551	6.0024	7.5362	6.4746	3.0756	0.177	6.8144	0.3535	0.7433	0.6574	0.3722	1.0738	3.5313	6.9328	0.2292	0.5181	2.542	0.3119	1.785	3.1485	15.0411	9.7729	0.8379	0.8947	15.1314	299.1368	2.2905	6.3681	6.101	0.2833	23.98	7.3175	0.4866	25.1975	0.8795	0.3141	0.2018	1.4211	0.386
young_10	Sample source:Heart | Sex:F | Age group:young	10.0076	35.5722	5.9523	17.4721	168.4888	2.2688	6.6574	4.7396	33.3796	0.4773	22.0906	1.8426	1.8055	102.654	1.0764	31.6363	0.6312	73.6545	0.9252	1.2898	0.9522	1.3574	23.0622	745.5874	40.2844	0.5466	27.0981	68.4759	200.7607	450.9316	220.6771	483.4013	3159.6635	129.3231	604.9738	222.2127	460.1923	88.0452	159.4506	78.9591	163.049	119.4495	485.9791	1419.8492	8363.628	152.6985	33.2326	183.983	1792.3441	70.6251	83.8796	1206.4326	616.1494	583.1673	2528.9883	57.4939	780.9576	253.6963	617.1749	1325.4357	218.3474	130.356	89.3288	98.9304	41.7114	292.6787	55.1238	161.8587	1220.3926	3252.6082	52.1126	174.8875	426.3282	69.1094	21.6732	157.9852	104.8284	52.5505	584.1968	145.3915	1119.2582	436.8377	153.7631	2296.1975	4745.6881	6620.5704	55.6187	40078.9305	32692.8622	13130.4802	1260.4187	407.7459	4426.0389	158.4525	1211.5099	576.7099	1427.8746	3757.4005	127.9698	779.1109	1300.4412	1304.1775	193.1835	363.5151	3116.0948	407.3136	1974.0868	60.2794	149.9432	122.6927	6073.1366	479.561	163.1785	696.4822	459.6838	195.4766	550.9189	1451.1267	87.8449	167.8016	681.1567	531.4592	71.5687	160.1261	338.7727	1.216	3.9504	176.6222	21.709	6.5738	2.9051	8.9201	4.1281	2.8013	2.2305	15.8729	9.9017	3.5664	7.9366	58.6369	53.4121	11.1253	22.1052	13.4655	8.0623	10.2674	0.6186	8.2062	1.1305	2.1327	2.1096	3.4638	0.5395	8.3272	11.448	0.7393	0.7192	2.1992	0.2241	4.9272	0.3864	17.8292	4.7259	0.6842	0.5827	6.3515	252.4368	1.0229	2.8865	4.9801	0.4751	29.8639	13.4759	0.8056	43.69	1.3456	1.3868	0.2188	0.3813	0.0897
